source,target,selector,classifier,n_selected_source,n_transferred,n_missing,transfer_ratio,insufficient_intersection,within_f1,cross_f1,delta_M,cross_accuracy,cross_precision,cross_recall,cross_auc
nsl_kdd,unsw_nb15,NoSelection,RandomForestClassifier,121.0,4,117.0,0.03305785123966942,False,0.7614104953720944,0.6166333168591469,0.14477717851294747,0.6470937129300118,0.623600020753202,0.6470937129300118,0.5747031643508529
nsl_kdd,unsw_nb15,NoSelection,LogisticRegression,121.0,4,117.0,0.03305785123966942,False,0.7530102957704772,0.6166333168591469,0.13637697891133027,0.6470937129300118,0.623600020753202,0.6470937129300118,0.5747031643508529
nsl_kdd,unsw_nb15,MutualInfo,RandomForestClassifier,20.0,1,19.0,0.05,True,0.7664074574134007,0.5915266007587172,0.17488085665468345,0.6418297746144721,0.6122171118522451,0.6418297746144721,0.5507089572743106
nsl_kdd,unsw_nb15,MutualInfo,LogisticRegression,20.0,1,19.0,0.05,True,0.7100774802565746,0.5915266007587172,0.11855087949785736,0.6418297746144721,0.6122171118522451,0.6418297746144721,0.5507089572743106
nsl_kdd,unsw_nb15,ChiSquare,RandomForestClassifier,20.0,2,18.0,0.1,True,0.7717813025341153,0.613650223799249,0.1581310787348662,0.6510787366548043,0.6275304107634547,0.6510787366548043,0.5689037605929517
nsl_kdd,unsw_nb15,ChiSquare,LogisticRegression,20.0,2,18.0,0.1,True,0.7656828996159649,0.613650223799249,0.15203267581671587,0.6510787366548043,0.6275304107634547,0.6510787366548043,0.5689037605929517
nsl_kdd,unsw_nb15,L1Logistic,RandomForestClassifier,61.0,2,59.0,0.03278688524590164,True,0.7732505473718365,0.613650223799249,0.15960032357258747,0.6510787366548043,0.6275304107634547,0.6510787366548043,0.5689037605929517
nsl_kdd,unsw_nb15,L1Logistic,LogisticRegression,61.0,2,59.0,0.03278688524590164,True,0.7529631654819647,0.613650223799249,0.13931294168271569,0.6510787366548043,0.6275304107634547,0.6510787366548043,0.5689037605929517
nsl_kdd,unsw_nb15,RFImportance,RandomForestClassifier,28.0,1,27.0,0.03571428571428571,True,0.7634028678674246,0.5915266007587172,0.1718762671087074,0.6418297746144721,0.6122171118522451,0.6418297746144721,0.5507089572743106
nsl_kdd,unsw_nb15,RFImportance,LogisticRegression,28.0,1,27.0,0.03571428571428571,True,0.7071085119051211,0.5915266007587172,0.11558191114640393,0.6418297746144721,0.6122171118522451,0.6418297746144721,0.5507089572743106
nsl_kdd,unsw_nb15,PCA,RandomForest,,0,,0.0,True,0.723555920096169,,,,,,
nsl_kdd,unsw_nb15,PCA,LogisticRegression,,0,,0.0,True,0.7584492820228529,,,,,,
nsl_kdd,unsw_nb15,GA,RandomForestClassifier,10.0,0,10.0,0.0,True,0.7559535758502253,0.8262033635603555,-0.07024978771013024,0.823064946619217,0.868962444859443,0.823064946619217,0.9619607379799581
nsl_kdd,unsw_nb15,GA,LogisticRegression,10.0,0,10.0,0.0,True,0.7474380504097073,0.7363021120460819,0.011135938363625475,0.7341711150652431,0.82216881805683,0.7341711150652431,0.9108550751475268
