dataset,method,classifier,seed,n_selected,n_total,reduction_ratio,accuracy,precision,recall,f1_score,f1_macro,roc_auc,fit_time,clf_time
unsw_nb15,NoSelection,LogisticRegression,42,194,194,0.0,0.7341711150652431,0.82216881805683,0.7341711150652431,0.7363021120460819,0.7338588662212382,0.9108550751475268,9.274482727050781e-05,10.485598802566528
unsw_nb15,NoSelection,LinearSVM,42,194,194,0.0,0.7393238434163701,0.8367201843738051,0.7393238434163701,0.7407191782309449,0.739200775053736,,9.274482727050781e-05,6.537916421890259
unsw_nb15,NoSelection,DecisionTree,42,194,194,0.0,0.8050674673784104,0.8481194108946721,0.8050674673784104,0.8085688008573849,0.8023020250056742,0.932149959605981,9.274482727050781e-05,2.6335031986236572
unsw_nb15,NoSelection,RandomForest,42,194,194,0.0,0.823064946619217,0.868962444859443,0.823064946619217,0.8262033635603555,0.8207814389523673,0.9619607379799581,9.274482727050781e-05,17.65435814857483
unsw_nb15,NoSelection,ExtraTrees,42,194,194,0.0,0.8112952253855279,0.8601966850217464,0.8112952253855279,0.8145799357190506,0.8091249097143718,0.9526442760436956,9.274482727050781e-05,15.905600309371948
unsw_nb15,NoSelection,GradientBoosting,42,194,194,0.0,0.8026949881376038,0.8642530266696536,0.8026949881376038,0.8057493410556997,0.8013207896473304,0.9602873858998583,9.274482727050781e-05,96.13895416259766
unsw_nb15,NoSelection,HistGradientBoosting,42,194,194,0.0,0.8249555160142349,0.8722200253542366,0.8249555160142349,0.8280376162247353,0.822801811590826,0.9728882325915671,9.274482727050781e-05,15.696980476379395
unsw_nb15,NoSelection,XGBoost,42,194,194,0.0,0.8275874851720048,0.8699925003972658,0.8275874851720048,0.830694789666532,0.8250670813760932,0.9682698209729802,9.274482727050781e-05,2.5429420471191406
unsw_nb15,NoSelection,LightGBM,42,194,194,0.0,0.8246404211150652,0.8733315823680525,0.8246404211150652,0.827701553512094,0.8225908302167428,0.9730239191506322,9.274482727050781e-05,3.2883105278015137
unsw_nb15,NoSelection,CatBoost,42,194,194,0.0,0.8190057829181495,0.8657003855926493,0.8190057829181495,0.8222013875500889,0.8167400422034581,0.9661971664769835,9.274482727050781e-05,3.30609393119812
unsw_nb15,NoSelection,KNN,42,194,194,0.0,0.7853833036773428,0.8328936808596593,0.7853833036773428,0.7891422945628978,0.7828256172584093,0.9058517881829398,9.274482727050781e-05,156.60508012771606
unsw_nb15,NoSelection,MLP,42,194,194,0.0,0.8040109727164887,0.8421348202722424,0.8040109727164887,0.8075850359312201,0.8006960791083709,0.9378038453144742,9.274482727050781e-05,1050.5201172828674
unsw_nb15,MutualInfo,LogisticRegression,42,20,194,0.8969072164948454,0.6933755931198102,0.8161916575519806,0.6933755931198102,0.6916507009181945,0.6932583026736159,0.7893924203519289,103.69189143180847,1.9512689113616943
unsw_nb15,MutualInfo,LinearSVM,42,20,194,0.8969072164948454,0.6902802491103203,0.8238149844665587,0.6902802491103203,0.687239506008538,0.6899503041128396,,103.69189143180847,0.9604783058166504
unsw_nb15,MutualInfo,DecisionTree,42,20,194,0.8969072164948454,0.8018238434163701,0.8503223024211339,0.8018238434163701,0.8052788071853791,0.7995245136931111,0.9295084548270429,103.69189143180847,2.338547706604004
unsw_nb15,MutualInfo,RandomForest,42,20,194,0.8969072164948454,0.8143534994068802,0.8558227706229969,0.8143534994068802,0.817709348942871,0.8115590847742491,0.9518097341943436,103.69189143180847,22.440608263015747
unsw_nb15,MutualInfo,ExtraTrees,42,20,194,0.8969072164948454,0.8058088671411625,0.8515983880271798,0.8058088671411625,0.8092511630616066,0.8033134797728531,0.9448142597919851,103.69189143180847,8.685080289840698
unsw_nb15,MutualInfo,GradientBoosting,42,20,194,0.8969072164948454,0.7682940391459074,0.850520404872651,0.7682940391459074,0.7707147402524336,0.7677764931274131,0.9521826120278076,103.69189143180847,57.26289653778076
unsw_nb15,MutualInfo,HistGradientBoosting,42,20,194,0.8969072164948454,0.8045114175563464,0.8584139160441473,0.8045114175563464,0.8077832967728777,0.8026591363189577,0.9603167219536799,103.69189143180847,2.7662434577941895
unsw_nb15,MutualInfo,XGBoost,42,20,194,0.8969072164948454,0.8134823546856464,0.8587665599697903,0.8134823546856464,0.8167991535918496,0.8110325415702435,0.9593426360122322,103.69189143180847,0.626145601272583
unsw_nb15,MutualInfo,LightGBM,42,20,194,0.8969072164948454,0.8058459371293001,0.8589030832060304,0.8058459371293001,0.8091197491425396,0.8039432240784125,0.9610429856416743,103.69189143180847,1.8478140830993652
unsw_nb15,MutualInfo,CatBoost,42,20,194,0.8969072164948454,0.8012492586002372,0.8577594359560429,0.8012492586002372,0.8044943611755409,0.7995544534758998,0.958149396150026,103.69189143180847,1.0390009880065918
unsw_nb15,MutualInfo,KNN,42,20,194,0.8969072164948454,0.8056049822064056,0.8407572087500327,0.8056049822064056,0.8091609056942939,0.8019533568248147,0.9083966532834034,103.69189143180847,65.08753108978271
unsw_nb15,MutualInfo,MLP,42,20,194,0.8969072164948454,0.7915554567022538,0.8462829253914557,0.7915554567022538,0.7950078594454316,0.7896686355238969,0.9448598565578674,103.69189143180847,434.3706591129303
unsw_nb15,ChiSquare,LogisticRegression,42,20,194,0.8969072164948454,0.7292222716488731,0.8294931989647318,0.7292222716488731,0.7303259674415251,0.729151356330776,0.902269198579902,0.23051738739013672,2.1361937522888184
