comparison,ga_mean_f1,baseline_mean_f1,ga_std_f1,baseline_std_f1,t_stat,p_value_raw_ttest,w_stat,p_value_raw_wilcoxon,direction,p_value_corrected,significant
GA vs NoSelection,0.9933071522171035,0.9958118388012368,0.0007098115042427516,0.00017895719602829455,-8.062451289998723,0.0012853006022503885,0.0,0.0625,GA <= baseline,0.006289572461451065,True
GA vs MutualInfo,0.9933071522171035,0.9942698128467645,0.0007098115042427516,0.0003081312221425519,-3.0969773265107894,0.03632745307908023,0.0,0.0625,GA <= baseline,0.03632745307908023,True
GA vs ChiSquare,0.9933071522171035,0.9822653765304651,0.0007098115042427516,0.0006551815171835933,19.212111557361546,4.3256084217083e-05,0.0,0.0625,GA > baseline,0.000259536505302498,True
GA vs L1Logistic,0.9933071522171035,0.9956030827093508,0.0007098115042427516,0.00039875980113397523,-8.108188599560684,0.001257914492290213,0.0,0.0625,GA <= baseline,0.006289572461451065,True
GA vs RFImportance,0.9933071522171035,0.995387599940031,0.0007098115042427516,0.00029507662638970537,-7.168203140649421,0.002005226573257857,0.0,0.0625,GA <= baseline,0.006289572461451065,True
GA vs PCA,0.9933071522171035,0.9912934609217604,0.0007098115042427516,0.00029938038931142985,5.763662781544227,0.004496412043517651,0.0,0.0625,GA > baseline,0.008992824087035303,True
