dataset,method,classifier,seed,n_selected,n_total,reduction_ratio,accuracy,precision,recall,f1_score,f1_macro,roc_auc
nsl_kdd,GA,LogisticRegression,42,10,121,0.9173553719008265,0.7492902767920511,0.7961921624609639,0.7492902767920511,0.7474380504097073,0.7488665708557738,0.8634761589601287
nsl_kdd,GA,LinearSVM,42,10,121,0.9173553719008265,0.744277856635912,0.7904823181150371,0.744277856635912,0.7424211914790513,0.7438577487577921,
nsl_kdd,GA,DecisionTree,42,10,121,0.9173553719008265,0.7787881476224272,0.8322356385420296,0.7787881476224272,0.7767735423659325,0.7782650286383481,0.8015444964636571
nsl_kdd,GA,RandomForest,42,10,121,0.9173553719008265,0.7594481902058198,0.8231039568898925,0.7594481902058198,0.7559535758502253,0.7582803376369955,0.9202762332781044
nsl_kdd,GA,ExtraTrees,42,10,121,0.9173553719008265,0.7583836053938964,0.8260923145683072,0.7583836053938964,0.7544106206085393,0.7569738895690445,0.8862878199204256
nsl_kdd,GA,GradientBoosting,42,10,121,0.9173553719008265,0.7802519517388219,0.8369615628769983,0.7802519517388219,0.7779596612740332,0.779608631511607,0.9207427547897664
nsl_kdd,GA,HistGradientBoosting,42,10,121,0.9173553719008265,0.795111781405252,0.8436800316919609,0.795111781405252,0.7937740619045425,0.7948289647287948,0.9447152569782575
nsl_kdd,GA,XGBoost,42,10,121,0.9173553719008265,0.7695617459190915,0.8291939868963036,0.7695617459190915,0.7667530369975308,0.7687038243730843,0.9548766689998961
nsl_kdd,GA,LightGBM,42,10,121,0.9173553719008265,0.7669002838892832,0.8282024390847712,0.7669002838892832,0.7638554585852797,0.7659359892482472,0.9450832559769515
nsl_kdd,GA,CatBoost,42,10,121,0.9173553719008265,0.7773687012065295,0.8354753509156148,0.7773687012065295,0.7748849634645814,0.7766452879209632,0.9593818873429327
nsl_kdd,GA,KNN,42,10,121,0.9173553719008265,0.7396202980837473,0.8116668769753296,0.7396202980837473,0.734470956909328,0.7376330818398034,0.7928714420106623
nsl_kdd,GA,MLP,42,10,121,0.9173553719008265,0.7420599716110717,0.8091953132952966,0.7420599716110717,0.7376140846134004,0.740447327970561,0.8950320099066883
