dataset,method,classifier,seed,n_selected,n_total,reduction_ratio,accuracy,precision,recall,f1_score,f1_macro,roc_auc
unsw_nb15,GA,LogisticRegression,42,35,194,0.8195876288659794,0.6594750889679716,0.7509229576254852,0.6594750889679716,0.6608705157826855,0.6593848824635304,0.7399484311422789
unsw_nb15,GA,LinearSVM,42,35,194,0.8195876288659794,0.6549340154211151,0.7423772730833625,0.6549340154211151,0.6567968770917856,0.6547680317383251,
unsw_nb15,GA,DecisionTree,42,35,194,0.8195876288659794,0.8118142052194544,0.8591340751434304,0.8118142052194544,0.8151227442629488,0.8095200420063695,0.944916435929783
unsw_nb15,GA,RandomForest,42,35,194,0.8195876288659794,0.8209890272835113,0.8626117201981874,0.8209890272835113,0.8242237538323293,0.8183044744225713,0.9487677018570861
unsw_nb15,GA,ExtraTrees,42,35,194,0.8195876288659794,0.8178751482799526,0.8577707517826004,0.8178751482799526,0.8211834419857479,0.81497556150485,0.9281011259531158
unsw_nb15,GA,GradientBoosting,42,35,194,0.8195876288659794,0.7903506820877817,0.8560206610645429,0.7903506820877817,0.7934114883499882,0.7891537434195884,0.9554529020933866
unsw_nb15,GA,HistGradientBoosting,42,35,194,0.8195876288659794,0.8246404211150652,0.8727137693654059,0.8246404211150652,0.8277132647525077,0.8225447967988706,0.9723679764169071
unsw_nb15,GA,XGBoost,42,35,194,0.8195876288659794,0.8271982502965599,0.8678315090870597,0.8271982502965599,0.8303311178417822,0.8245120729215621,0.9676114967992706
unsw_nb15,GA,LightGBM,42,35,194,0.8195876288659794,0.8228981316725978,0.87155953540799,0.8228981316725978,0.8259896780264303,0.8208281770131041,0.9730237651750286
unsw_nb15,GA,CatBoost,42,35,194,0.8195876288659794,0.8151690391459074,0.8665845894021538,0.8151690391459074,0.818331546216811,0.8132266285738924,0.9691149560477528
unsw_nb15,GA,KNN,42,35,194,0.8195876288659794,0.8126297449584816,0.8517598760228258,0.8126297449584816,0.8160396502251606,0.809568035819572,0.9097155498226885
unsw_nb15,GA,MLP,42,35,194,0.8195876288659794,0.7723346678529063,0.8372648295439311,0.7723346678529063,0.7756544386755257,0.7710400114819203,0.9470486723219655
