classifier,n_seeds,mean_f1,std_f1,mean_accuracy,std_accuracy,mean_n_selected,std_n_selected,mean_pairwise_jaccard
LogisticRegression,5,0.8952277736486869,0.0385184516696882,0.8955628871532453,0.038309662624387994,16.4,1.3564659966250536,0.1369340297726004
RandomForest,5,0.9933071522171035,0.0007935933873490721,0.9933072986803124,0.0007936065839548609,16.4,1.3564659966250536,0.1369340297726004
